meet_id,event_id,result_set_id,sheet_key,diver_id,diver_name,team_name,team_id,nat,place,posted_score,phase_score_from_dives,phase_dive_count,phase_dd_sum,score_delta_posted_minus_phase,score_is_cumulative,score_analysis_mode,meet_name,meet_year,competition_family,competition_group,ncaa_division,gender,discipline,event_level,age_group,event_round,round_stage,is_synchronized,source_system,ncaa_women_springboard_raw_6_dive_score,ncaa_women_springboard_5cat_score,ncaa_women_springboard_5cat_dd_sum,ncaa_women_springboard_repeated_category,ncaa_women_springboard_dropped_dive_number,ncaa_women_springboard_dropped_dive_score,ncaa_women_springboard_adjustment_status,ncaa_women_springboard_adjustment_note
12068,570,1,1764612889,65301,ElliReese Niday,City of Midland,1317,,1.0,359.1,359.1,5,14.9,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764031255,64569,Ella Roselli,Johansen Diving Academy,8404,,2.0,332.7,332.7,5,15.4,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764454054,67814,Bayleigh Cranford,The University of Texas,4141,,3.0,306.9,306.9,5,16.1,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764548585,26319,Sophia McAfee,Purdue Diving,7215,,4.0,277.5,277.5,5,15.1,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764361177,52300,Kayleigh Clark,Unattached,,,5.0,268.2,268.2,5,15.4,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1765401794,69447,Lindyn Johnson,City of Midland,1317,,6.0,258.8,258.8,5,13.701,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1765160937,35987,Zara Joy Ayazi,Unattached,,,7.0,249.2,249.2,5,14.0,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764460962,63321,Hannah Mclaughlin,Woodlands Diving,9866,,8.0,241.05,241.05,5,14.7,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1764621357,81601,Kathryn Parker,Razorback Diving Academy,8654,,9.0,239.55,239.55,5,14.001,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
12068,570,1,1765054588,53351,Emilie Moore,Unattached,,,10.0,235.25,235.25,5,15.1,0.0,False,Posted score equals phase score,2025 USA Diving Winter Nationals,2025,USA Diving,USA Diving Winter Nationals,,Female,Platform,Senior,Senior,Prelim / Quarterfinal,Prelim,False,,,,,,,,not_applicable,
